,Season,Team Name,Conference,Adjusted Temo,Adjusted Offensive Efficiency,Adjusted Defensive Efficiency,Avg Possession Length (Offense),Avg Possession Length (Defense),eFGPct,TOPct,ORPct,OffFT,DefFT,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,FG2Pct,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,DFP,AvgHeight,CenterHeight,PFHeight,SFHeight,SGHeight,PGHeight,EffectiveHeight,Experience,Bench,CenterOR,PFOR,SFOR,SGOR,PGOR,CenterDR,PFDR,SFDR,SGDR,PGDR,Net Rating
3928,2010,San Jose State,Mountain West Conference (MW),66.0,109.9,110.5,18.1,17.5,0.51365,0.18255600000000002,0.33763,21.3182,16.4985,67.6386,65.9825,108.107,109.882,111.835,110.502,-0.620201,0.47818800000000006,0.399594,0.727132,0.060240999999999996,0.500402,0.370558,0.631933,0.060403000000000005,9.22627226241492,77.21,1.04,-1.14,0.04,1.24,3.43,-0.1,2.34,18.25,42.11,22.78,15.95,11.37,7.8,32.12,19.88,19.36,15.73,12.91,-0.5999999999999943
3930,2011,La Salle,Atlantic 10 Conference (A-10),70.9,106.7,107.3,15.1,18.2,0.496135,0.20921099999999998,0.36185,19.0063,19.8459,72.063,70.8889,103.943,106.69,106.471,107.298,-0.608037,0.47698500000000005,0.364273,0.708824,0.091223,0.48859699999999995,0.356913,0.701635,0.116744,9.22627226241492,77.26,0.55,0.79,0.96,0.4,0.47,1.34,1.45,30.46,37.6,39.47,8.09,9.93,4.91,29.68,25.58,16.89,14.74,13.11,-0.5999999999999943
3931,2014,Weber State,Big Sky Conference,62.9,106.4,107.0,19.1,18.2,0.5409660000000001,0.18975,0.283547,25.4344,20.5972,63.8692,62.939,110.234,106.424,105.294,107.04,-0.616502,0.511136,0.39433999999999997,0.742254,0.087402,0.47007899999999997,0.33692700000000003,0.706597,0.070156,9.22627226241492,77.16,0.75,0.99,-0.65,0.3,0.98,1.74,1.59,23.94,36.5,46.53,6.95,5.98,4.04,26.72,29.62,17.91,14.87,10.88,-0.5999999999999943
3932,2018,Wagner,Northeast Conference (NEC),67.6,103.0,103.6,17.5,17.3,0.497275204359673,0.196483549740719,0.35751748251748305,19.4616063548102,24.6861924686192,68.9976,67.611,105.89,103.043,99.9278,103.639,-0.596529,0.46995515695067297,0.359722222222222,0.703349282296651,0.108108108108108,0.45752895752895806,0.36245954692556603,0.687823834196891,0.105829596412556,10.9546241294689,74.73,-1.72,-3.04,-1.92,-2.85,-0.79,-2.38,1.76,32.27,38.04,22.46,21.65,7.82,9.97,27.12,22.1,23.47,9.6,17.66,-0.5999999999999943
3933,2024,Delaware,Coastal Athletic Association (CAA),67.5,105.0,105.6,17.8,17.9,0.518990775908844,0.160210536035828,0.274766355140187,17.3650107991361,16.4500224114747,67.4355,67.5006,106.882,104.991,102.941,105.626,-0.634826,0.532489451476793,0.329787234042553,0.706502636203866,0.077175697865353,0.49671592775041,0.31276901004304203,0.707129094412331,0.10379746835442999,10.9546241294689,77.5,-1.63,-0.79,-0.09,1.23,3.11,-1.21,2.1637,24.13,22.74,40.47,14.82,13.24,8.73,24.57,30.9,15.92,16.81,11.81,-0.5999999999999943
3934,2024,Stephen F. Austin,Western Athletic Conference (WAC),69.3,102.0,102.6,17.2,16.6,0.494006849315069,0.21997552101671602,0.33364312267658003,23.1349911190053,25.684777727885,70.7669,69.2831,100.455,101.988,100.051,102.638,-0.649891,0.492010092514718,0.33214920071048,0.705006765899865,0.08317580340264649,0.46030245746691895,0.37091503267973897,0.722222222222222,0.0975609756097561,10.9546241294689,77.08,-0.41,-0.27,0.02,0.26,0.11,-0.34,1.57816,44.21,38.12,20.38,21.98,13.39,6.08,24.19,17.77,25.85,19.87,12.29,-0.5999999999999943
3935,2022,UC Riverside,Big West Conference (BWC),65.3,100.3,100.9,19.0,17.6,0.506766381766382,0.18346626412465303,0.223809523809524,16.1955241460542,17.8123132098027,65.2891,65.3236,98.7526,100.346,97.1728,100.927,-0.581194,0.521945432977461,0.32263814616755804,0.729442970822281,0.0321324245374878,0.47809152872444005,0.30184331797235,0.7233009708737861,0.0794780545670225,10.9546241294689,78.7,3.38,0.72,0.48,1.02,3.11,2.05,2.01,22.65,35.05,30.4,19.23,6.93,8.29,29.94,15.24,14.51,18.19,22.04,-0.6000000000000085
3936,2010,Seattle U,Western Athletic Conference (WAC),77.7,100.6,101.2,14.0,15.8,0.48465,0.22301500000000002,0.37079999999999996,22.6195,26.6479,79.5914,77.7016,101.049,100.613,100.036,101.19,-0.576543,0.479599,0.333333,0.646383,0.046457,0.52126,0.329389,0.72301,0.079599,10.9546241294689,75.39,0.11,0.04,-1.05,-1.88,-1.76,0.15,1.97,33.7,29.45,25.61,21.44,14.5,9.0,32.0,17.74,16.43,18.37,15.46,-0.6000000000000085
3937,2011,American University,Patriot League,60.3,104.1,104.7,20.4,18.1,0.505618,0.180309,0.301272,21.0141,22.3011,62.0895,60.3102,104.721,104.073,100.925,104.713,-0.64005,0.505263,0.33752200000000004,0.7183329999999999,0.076174,0.446413,0.360825,0.728477,0.062201000000000006,10.9546241294689,77.34,0.2,-1.15,0.69,1.12,2.64,-0.94,2.3,22.93,30.75,35.68,16.68,10.26,6.63,24.37,29.07,17.87,15.55,13.14,-0.6000000000000085
3938,2009,Ohio,Mid-American Conference (MAC),65.1,101.8,102.4,20.4,18.1,0.497552,0.218698,0.285433,21.6386,21.1538,64.9224,65.0613,99.5693,101.833,100.063,102.413,-0.579643,0.472196,0.363002,0.7026600000000001,0.059476,0.5060479999999999,0.33758000000000005,0.670732,0.096136,10.9546241294689,76.89,-1.25,-0.07,1.01,1.78,0.68,-1.33,1.8,26.36,27.13,31.31,20.66,15.22,5.68,25.78,26.64,19.36,15.66,12.55,-0.6000000000000085
